Kode,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
PDtot,"1728,57","2053,68","2361,04","2629,82","2952,61","3546,65","3416,36","3428,48","3666,36","3323,66","3286,05","3587,33","4049,38","4190,5"
PAD,"351,69","491,07","619,59","730,99","828,87","971,86","1337,23","1185,45","1303,32","1078,33","1140,33","1410,81","1568,27","1599,24"
PjD,"270,55","388,34","518,71","561,68","635,65","752,14","938,8","942,55","1067,32","864,31","924,35","1187,83","1354,47","1404,33"
RtD,"62,04","74,94","79,65","135,78","115,22","128,47","72,79","57,28","68,1","67,2","54,18","71,49","68,51",54
HsKD,"6,36","6,45","6,36","11,84","13,39","15,56","45,02","49,46","18,23","31,88","22,25","17,44","27,2","26,63"
LainPAD,"12,75","21,34","14,88","21,69","64,62","75,68","280,62","136,16","149,67","114,94","139,54","134,05","118,08","114,28"
TKDD,"905,87","1105,46","1161,28","1251,88","1402,77","1992,75","1680,47","1826,14","1856,22","1750,92","1717,86","1818,55","2011,98","2278,28"
PDTrf,"905,87","1105,46","1161,28","1251,88","1402,77","1992,75","1680,47","1826,14","1856,22","1750,92","1717,86","1818,55","2011,98","2278,28"
PDtrAD,0,0,0,0,0,"304,49","366,64",272,"374,42","328,59","268,63","357,72","443,38","294,11"
0,"905,87","1105,46","1161,28","1251,88","1402,77",0,0,0,0,0,0,0,0,0
0,"126,49","161,7","86,81","88,43","67,05",0,0,0,0,0,0,0,0,0
0,"718,48","911,12","1033,58","1114,85","1198,87",0,0,0,0,0,0,0,0,0
0,"60,9","32,64","40,89","48,59","136,85",0,0,0,0,0,0,0,0,0
PDLain1,471,"457,15","580,16","646,95","720,97","582,04","398,66","416,89","506,82","494,41","427,86","357,97","469,13","312,98"
Hbh,"0,97","1,46",0,"0,58",0,"235,85",15,"128,59","132,4","165,82",0,"0,25",0,0
PDLain2,0,0,0,0,0,"41,71","17,02","16,3",0,0,"159,24",0,"25,75","18,87"
BgHProv,"166,49","194,26","222,86","265,11","265,49",0,0,0,0,0,0,0,0,0
Otsus,"262,93","211,44","297,06","319,1","398,5",0,0,0,0,0,0,0,0,0
BtKeu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDLain3,"40,61",50,"60,24","62,16","56,98",0,0,0,0,0,0,0,0,0
Belanja,"1711,88","1966,71","2335,02","2606,08","3062,27",0,0,0,0,0,0,0,0,0
BTL,"1136,86","1115,35","1358,25","1332,32","1412,02",0,0,0,0,0,0,0,0,0
BPgTL,"1072,08","1078,22","1213,2","1308,85","1351,48",0,0,0,0,0,0,0,0,0
BL,"575,02","851,35","976,77","1273,76","1650,25",0,0,0,0,0,0,0,0,0
BBung,0,"10,28","45,95","1,97","1,55","0,58","0,25",0,0,0,0,0,0,0
Bsub,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BPgL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBrJasa,"406,5","532,74","607,31","810,5","977,23","1115,18","1409,62","1430,12","1560,47","1188,45","1352,75","1678,03","1876,36","1693,2"
BlDa,0,0,0,0,0,"3278,34","3313,62","3526,08","3549,12","2969,79","3150,5","3550,06","4507,73","4075,83"
BPeg,0,0,0,0,0,"1450,48","1193,16","1208,19","1044,87","1218,38","1208,91","1186,4","1253,28","1476,63"
Bmod,"168,52","318,62","369,46","463,26","673,03","634,54","625,02","746,83","884,2","291,65","322,97","450,3","1130,81","719,63"
Blain,0,0,0,0,0,"78,14","85,83","140,94","59,57","271,31","265,86","235,33","247,28","186,37"
BBH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhibah,"35,58","15,33","83,08","20,02","48,28","76,33","76,92","137,26","55,55","185,77","103,21","205,44","238,97","185,38"
BBSos,"27,18","9,68","0,79","0,67",0,"0,05",0,"0,47","2,87","1,26","0,4","11,19","5,81",0
BBKeu,0,"0,76","0,74","0,81","1,1","1,1","1,09","3,09","1,12","1,17",0,1,0,0
BTT,"2,03","1,1","14,5",0,"9,61","0,08","7,56","0,12","0,03","83,11","162,25","17,7","2,5",1
PebDa,"149,05","205,05","244,66","245,99","261,96","-94,9","328,49",0,"121,76","239,05","587,21","715,26","752,54",0
PenBy,"147,12","161,9","229,42","240,21","258,18","144,74","332,28","272,36","174,76","239,05","592,21","722,76","752,54","294,19"
SilPA,"146,91","161,84","205,71","240,19","258,15","144,73","332,27","272,35","174,76","239,05","592,21","722,76","752,54","294,19"
DnCad,0,0,"23,65",0,0,0,0,0,0,0,0,0,0,0
JKyD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PnPjDa,0,0,0,0,0,0,0,0,"174,76",0,0,0,0,0
PeKemP,"0,21","0,06","0,06","0,02","0,03",0,0,0,0,0,0,0,0,0
PePbyLain,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PengBiaya,"-1,93","-43,16","-15,25","-5,79","-3,78","239,64","3,79",0,53,0,5,"7,5",0,0
PemDanCad,0,"-23,51",0,0,0,0,0,0,0,0,0,0,0,0
PyrtMo,0,"-2,5",0,0,0,"235,85",0,0,53,0,5,"7,5",0,0
PbPoUtang,"-1,93","-17,15","-15,25","-5,79","-3,78","3,79","3,79",0,0,0,0,0,0,0
